DateVal,CMODateCount,CumCases,DailyDeaths,CumDeaths,IncreasePercent,DeathPercent,CumCases7DayAvg,CumDeaths7DayAvg,DailyDeath7DayAvg,CMODateCount7DayAvg
31/01/2020,2,2,,,0,,,,,
01/02/2020,0,2,,,0,,,,,
02/02/2020,0,2,,,0,,,,,
03/02/2020,0,2,,,0,,,,,
04/02/2020,0,2,,,0,,,,,
05/02/2020,0,2,,,0,,,,,
06/02/2020,1,3,,,50,,2,,,0
07/02/2020,0,3,,,0,,2,,,0
08/02/2020,0,3,,,0,,2,,,0
09/02/2020,1,4,,,33,,3,,,0
10/02/2020,4,8,,,100,,4,,,1
11/02/2020,0,8,,,0,,4,,,1
12/02/2020,0,8,,,0,,5,,,1
13/02/2020,1,9,,,12,,6,,,1
14/02/2020,0,9,,,0,,7,,,1
15/02/2020,0,9,,,0,,8,,,1
16/02/2020,0,9,,,0,,9,,,1
17/02/2020,0,9,,,0,,9,,,0
18/02/2020,0,9,,,0,,9,,,0
19/02/2020,0,9,,,0,,9,,,0
20/02/2020,0,9,,,0,,9,,,0
21/02/2020,0,9,,,0,,9,,,0
22/02/2020,0,9,,,0,,9,,,0
23/02/2020,0,9,,,0,,9,,,0
24/02/2020,4,13,,,44,,10,,,1
25/02/2020,0,13,,,0,,10,,,1
26/02/2020,0,13,,,0,,11,,,1
27/02/2020,0,13,,,0,,11,,,1
28/02/2020,6,19,,,32,,13,,,1
29/02/2020,4,23,,,21,,15,,,2
01/03/2020,12,35,,,52,,18,,,4
02/03/2020,5,40,,,14,,22,,,4
03/03/2020,11,51,,,27,,28,,,5
04/03/2020,34,85,,,66,,38,,,10
05/03/2020,29,114,,,34,,52,,,14
06/03/2020,46,160,,,40,,73,,,20
07/03/2020,46,206,,,29,,99,,,26
08/03/2020,65,271,,,31,,132,,,34
09/03/2020,50,321,,,18,,173,,,40
10/03/2020,52,373,,6,16,,219,,,46
11/03/2020,83,456,,0,22,,272,,,53
12/03/2020,134,590,,8,29,,340,,,68
13/03/2020,207,797,,0,35,,431,,,91
14/03/2020,264,1061,,21,33,,553,,,122
15/03/2020,330,1391,14,35,31,67,713,,,160
16/03/2020,152,1543,20,55,11,57,887,18,,175
17/03/2020,407,1950,16,71,26,29,1113,27,,225
18/03/2020,676,2626,32,103,35,45,1423,42,,310
19/03/2020,643,3269,41,144,24,40,1805,61,,383
20/03/2020,714,3983,33,177,22,23,2260,87,,455
21/03/2020,1035,5018,56,233,26,32,2826,117,30,565
22/03/2020,665,5683,48,281,13,21,3439,152,35,613
23/03/2020,967,6650,54,335,17,19,4168,192,40,730
24/03/2020,1427,8077,87,422,21,26,5044,242,50,875
25/03/2020,1452,9529,41,463,22,10,6030,294,51,986
26/03/2020,2129,11658,115,578,22,25,7228,356,62,1198
27/03/2020,2885,14543,181,759,20,31,8737,439,83,1509
28/03/2020,2546,17089,260,1019,17,34,10461,551,112,1724
29/03/2020,2433,19522,209,1228,14,21,12438,686,135,1977
30/03/2020,2619,22141,180,1408,13,15,14651,840,153,2213
31/03/2020,3009,25150,381,1789,14,27,17090,1035,195,2439
01/04/2020,4324,29474,563,2352,17,31,19940,1305,270,2849
02/04/2020,4244,33718,569,2921,14,24,23091,1639,335,3151
03/04/2020,4450,38168,684,3605,13,23,26466,2046,407,3375
04/04/2020,3735,41903,708,4313,10,20,30011,2517,471,3545
05/04/2020,5914,47817,621,4934,14,-12,34053,3046,529,4042
06/04/2020,3802,51608,439,5373,25,-29,38263,3612,566,4211
07/04/2020,3634,55242,786,6159,7,79,42561,4237,624,4300
08/04/2020,5491,60733,938,7097,10,19,47027,4915,678,4467
09/04/2020,4344,65077,881,7978,7,-6,51507,5637,722,4481
10/04/2020,5195,70272,980,8958,8,11,56093,6402,765,4588
11/04/2020,4624,74895,817,9875,7,-17,60806,7196,780,4715
12/04/2020,4450,79345,737,10612,6,-10,65310,8007,797,4506
13/04/2020,3543,82888,717,11329,4,-3,69779,8858,837,4469
14/04/2020,5252,93873,778,12107,13,9,75298,9708,835,4700
15/04/2020,4605,98476,761,12868,5,-2,80689,10532,810,4573
16/04/2020,4618,103093,861,13729,5,13,86120,11354,807,4612
17/04/2020,5599,108692,847,14576,5,-2,91609,12157,788,4670
18/04/2020,5526,114217,888,15464,5,5,97226,12955,798,4799
19/04/2020,5850,120067,596,16060,5,-32,103044,13733,778,4999
20/04/2020,4676,124743,449,16509,4,-25,109023,14473,740,5161
21/04/2020,4301,129044,828,17337,3,84,114047,15220,747,5025
22/04/2020,4451,133495,759,18100,3,-8,119050,15968,747,5003
23/04/2020,4583,138078,616,18738,3,-19,124048,16683,712,4998
24/04/2020,5386,143464,684,19506,4,11,129015,17388,689,4968
25/04/2020,4913,148377,813,20319,3,19,133895,18081,678,4880
26/04/2020,4463,152840,413,20732,3,-49,138577,18749,652,4682
27/04/2020,4310,157149,360,21092,3,-13,143207,19403,639,4630
28/04/2020,3996,161145,586,21678,3,63,147793,20024,604,4586
29/04/2020,4076,165221,765,26097,3,31,152325,21166,605,4532
30/04/2020,6032,171253,674,26771,4,-12,157064,22314,614,4739
01/05/2020,6201,177454,739,27510,4,10,161920,23457,621,4856
02/05/2020,4806,182260,621,28131,3,-16,166760,24573,594,4841
03/05/2020,4339,186599,315,28446,2,-49,171583,25675,580,4823
04/05/2020,3985,190584,288,28734,4,-17,176359,26767,570,4776
05/05/2020,4406,194990,693,29427,2,140,181194,27874,585,4835
06/05/2020,6111,201101,649,30076,3,-6,186320,28442,568,5126
07/05/2020,5614,206715,539,30615,3,-17,191386,28991,549,5066
08/05/2020,4649,211364,626,31241,2,16,196230,29524,533,4844
09/05/2020,3896,215260,346,31587,2,-45,200945,30018,494,4714
10/05/2020,3923,219183,269,31855,2,-22,205600,30505,487,4655
11/05/2020,3877,223060,210,32065,2,-22,210239,30981,476,4639
12/05/2020,3403,226463,627,32692,2,199,214735,31447,467,4496
13/05/2020,3242,229705,494,33186,1,-21,218821,31892,444,4086
14/05/2020,3446,233151,428,33614,2,-13,222598,32320,429,3777
15/05/2020,3560,236711,384,33998,2,-10,226219,32714,394,3621
16/05/2020,3451,240161,468,34466,1,22,229776,33125,411,3557
17/05/2020,3142,243303,170,34636,1,-64,233222,33522,397,3446
18/05/2020,2684,246406,160,34796,1,-6,236557,33913,390,3275
19/05/2020,2412,248818,545,35341,1,241,239751,34291,378,3134
20/05/2020,2472,248293,363,35704,0,-33,242406,34651,360,3024
21/05/2020,2615,250908,338,36042,1,-7,244943,34998,347,2905
22/05/2020,3287,254195,351,36393,1,4,247441,35340,342,2866
23/05/2020,2959,257154,282,36675,1,-20,249868,35655,316,2796
24/05/2020,2409,259559,118,36793,1,-58,252190,35963,308,2691
25/05/2020,1625,261184,121,36914,1,3,254302,36266,303,2540
26/05/2020,2004,265227,134,37048,2,11,256646,36510,244,2482
27/05/2020,2013,267240,412,37460,1,207,259352,36761,251,2416
28/05/2020,1887,269127,377,37837,1,-8,261955,37017,256,2312
29/05/2020,2095,271222,324,38161,1,-14,264388,37270,253,2142
30/05/2020,2445,272826,215,38376,1,-34,266626,37513,243,2068
31/05/2020,1936,274762,113,38489,1,-47,268798,37755,242,2001
01/06/2020,1570,276332,111,39045,1,2,270962,38059,241,1993
02/06/2020,1613,277985,324,39369,1,192,272785,38391,268,1937
03/06/2020,1871,279856,359,39728,1,11,274587,38715,260,1917
